"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R46","R_0402","12.9mm","32.825mm","12.9mm","32.825mm","12.9mm","33.325mm","T","270.00",""
"R45","R_0402","94.3102mm","63.3476mm","94.3102mm","63.3476mm","94.8102mm","63.3476mm","T","180.00",""
"R44","R_0402","94.3102mm","65.8622mm","94.3102mm","65.8622mm","94.8102mm","65.8622mm","T","180.00",""
"R43","R_0402","94.3356mm","68.4022mm","94.3356mm","68.4022mm","94.8356mm","68.4022mm","T","180.00",""
"R42","R_0402","92.9132mm","72.1106mm","92.9132mm","72.1106mm","93.4132mm","72.1106mm","T","180.00",""
"R41","R_0402","35.2mm","67.65mm","35.2mm","67.65mm","35.7mm","67.65mm","T","180.00",""
"R40","R_0402","84.209mm","71.7296mm","84.209mm","71.7296mm","84.709mm","71.7296mm","T","180.00",""
"R39","R_0402","39.25mm","71.575mm","39.25mm","71.575mm","38.75mm","71.575mm","T","360.00",""
"R38","R_0402","79mm","7.375mm","79mm","7.375mm","79mm","6.875mm","T","90.00",""
"R34","R_0402","76.675mm","33.2mm","76.675mm","33.2mm","76.675mm","33.7mm","B","270.00",""
"R33","R_0402","79.1464mm","25.8412mm","79.1464mm","25.8412mm","78.6464mm","25.8412mm","B","360.00",""
"R32","R_0402","36.2204mm","22.8854mm","36.2204mm","22.8854mm","36.2204mm","23.3854mm","T","270.00",""
"R31","R_0402","28mm","7.5mm","28mm","7.5mm","28mm","7mm","B","90.00",""
"R30","R_0402","46.7mm","37.625mm","46.7mm","37.625mm","46.7mm","38.125mm","T","270.00",""
"R27","R_0402","84.1756mm","23.844mm","84.1756mm","23.844mm","84.6756mm","23.844mm","T","180.00",""
"R26","R_0402","88.525mm","9.4mm","88.525mm","9.4mm","88.025mm","9.4mm","T","360.00",""
"R23","R_0402","7.621mm","7.3754mm","7.621mm","7.3754mm","7.621mm","7.8754mm","T","270.00",""
"R22","R_0402","20.2956mm","9.1534mm","20.2956mm","9.1534mm","19.7956mm","9.1534mm","T","360.00",""
"R21","R_0402","30.6832mm","44.0944mm","30.6832mm","44.0944mm","31.1832mm","44.0944mm","T","180.00",""
"R20","R_0402","30.6832mm","42.799mm","30.6832mm","42.799mm","31.1832mm","42.799mm","T","180.00",""
"R19","R_0402","31.3086mm","41.629mm","31.3086mm","41.629mm","31.8086mm","41.629mm","T","180.00",""
"R18","R_0402","27.425mm","52.9mm","27.425mm","52.9mm","26.925mm","52.9mm","T","360.00",""
"R17","R_0402","27.4402mm","50.393mm","27.4402mm","50.393mm","26.9402mm","50.393mm","T","360.00",""
"R16","R_0402","45mm","7.5mm","45mm","7.5mm","45mm","7mm","B","90.00",""
"R15","R_0402","40.9702mm","20.0406mm","40.9702mm","20.0406mm","40.4702mm","20.0406mm","T","360.00",""
"R14","R_0402","31.9278mm","34.671mm","31.9278mm","34.671mm","31.9278mm","35.171mm","B","270.00",""
"R13","R_0402","80.6958mm","81.8896mm","80.6958mm","81.8896mm","80.6958mm","82.3896mm","B","270.00",""
"R12","R_0402","84.6582mm","86.106mm","84.6582mm","86.106mm","85.1582mm","86.106mm","B","180.00",""
"R11","R_0402","90.9828mm","84.6328mm","90.9828mm","84.6328mm","91.4828mm","84.6328mm","B","180.00",""
"R10","R_0402","87.0966mm","93.2434mm","87.0966mm","93.2434mm","87.0966mm","92.7434mm","B","90.00",""
"R9","R_0402","28.194mm","72.6186mm","28.194mm","72.6186mm","28.194mm","72.1186mm","B","90.00",""
"R8","R_0402","25.5778mm","73.1774mm","25.5778mm","73.1774mm","26.0778mm","73.1774mm","B","180.00",""
"R7","R_0402","71mm","89.5mm","71mm","89.5mm","71mm","89mm","B","90.00",""
"R6","R_0402","71.75mm","98.25mm","71.75mm","98.25mm","72.25mm","98.25mm","T","180.00",""
"R5","R_0402","71.75mm","99.5mm","71.75mm","99.5mm","71.25mm","99.5mm","T","360.00",""
"R4","R_0402","64.4906mm","82.931mm","64.4906mm","82.931mm","64.4906mm","82.431mm","B","90.00",""
"R3","R_0402","25.7048mm","80.8308mm","25.7048mm","80.8308mm","26.2048mm","80.8308mm","T","180.00",""
